descricao_pedido,quantidade
AGRAVO INTERNO NA PETIÇÃO NO MANDADO DE SEGURANÇA,3
AGRAVO INTERNO NA PETIÇÃO NO RECURSO ESPECIAL,28
AGRAVO INTERNO NA PETIÇÃO NOS EMBARGOS DE DIVERGENCIA EM RECURSO ESPECIAL,2
AGRAVO INTERNO NA PETIÇÃO NOS EMBARGOS DE DIVERGÊNCIA EM AGRAVO EM RECURSO ESPECIAL,1
AGRAVO INTERNO NA RECLAMAÇÃO,254
AGRAVO INTERNO NA SENTENÇA ESTRANGEIRA CONTESTADA,2
AGRAVO INTERNO NA SUSPENSÃO DE LIMINAR E DE SENTENÇA,75
AGRAVO INTERNO NA SUSPENSÃO DE SEGURANÇA,30
AGRAVO INTERNO NA TUTELA ANTECIPADA ANTECEDENTE,18
AGRAVO INTERNO NA TUTELA CAUTELAR ANTECEDENTE,46
AGRAVO INTERNO NA TUTELA PROVISÓRIA INCIDENTAL NA AÇÃO RESCISÓRIA,1
AGRAVO INTERNO NA TUTELA PROVISÓRIA INCIDENTAL NA EXECUÇÃO EM MANDADO DE SEGURANÇA,9
AGRAVO INTERNO NA TUTELA PROVISÓRIA INCIDENTAL NO AGRAVO INTERNO NO AGRAVO EM RECURSO ESPECIAL,1
AGRAVO INTERNO NA TUTELA PROVISÓRIA INCIDENTAL NO MANDADO DE SEGURANÇA,1
AGRAVO INTERNO NA TUTELA PROVISÓRIA INCIDENTAL NO PEDIDO DE UNIFORMIZAÇÃO DE INTERPRETAÇÃO DE LEI,1
AGRAVO INTERNO NA TUTELA PROVISÓRIA INCIDENTAL NO RECURSO ESPECIAL,17
AGRAVO INTERNO NA TUTELA PROVISÓRIA NO AGRAVO EM RECURSO ESPECIAL,14
AGRAVO INTERNO NA TUTELA PROVISÓRIA NOS EMBARGOS DE DIVERGÊNCIA EM AGRAVO EM RECURSO ESPECIAL,1
AGRAVO INTERNO NO AGRAVO DE INSTRUMENTO,11
AGRAVO INTERNO NO AGRAVO DE INSTRUMENTO NO RECURSO ESPECIAL,2
AGRAVO INTERNO NO AGRAVO EM RECURSO ESPECIAL,17077
AGRAVO INTERNO NO AGRAVO EM RECURSO EXTRAORDINÁRIO NO RECURSO EXTRAORDINÁRIO NO AGRAVO INTERNO NO AGRAVO EM RECURSO ESPECIAL,2
AGRAVO INTERNO NO AGRAVO EM RECURSO EXTRAORDINÁRIO NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NA PETIÇÃO NO RECURSO ESPECIAL,1
AGRAVO INTERNO NO AGRAVO EM RECURSO EXTRAORDINÁRIO NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NO RECURSO ESPECIAL,2
AGRAVO INTERNO NO AGRAVO EM RECURSO EXTRAORDINÁRIO NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NOS EMBARGOS DE DIVERGÊNCIA EM AGRAVO EM RECURSO ESPECIAL,1
AGRAVO INTERNO NO AGRAVO INTERNO NA AÇÃO RESCISÓRIA,2
AGRAVO INTERNO NO AGRAVO INTERNO NA RECLAMAÇÃO,3
AGRAVO INTERNO NO AGRAVO INTERNO NA SUSPENSÃO DE LIMINAR E DE SENTENÇA,4
AGRAVO INTERNO NO AGRAVO INTERNO NA SUSPENSÃO DE SEGURANÇA,1
AGRAVO INTERNO NO AGRAVO INTERNO NA TUTELA PROVISÓRIA INCIDENTAL NO AGRAVO EM RECURSO ESPECIAL,1
AGRAVO INTERNO NO AGRAVO INTERNO NA TUTELA PROVISÓRIA NO RECURSO ESPECIAL,1
AGRAVO INTERNO NO AGRAVO INTERNO NO AGRAVO EM RECURSO ESPECIAL,817
AGRAVO INTERNO NO AGRAVO INTERNO NO AGRAVO INTERNO NO AGRAVO EM RECURSO ESPECIAL,22
AGRAVO INTERNO NO AGRAVO INTERNO NO AGRAVO INTERNO NO MANDADO DE SEGURANÇA,2
AGRAVO INTERNO NO AGRAVO INTERNO NO AGRAVO INTERNO NO RECURSO ESPECIAL,13
AGRAVO INTERNO NO AGRAVO INTERNO NO AGRAVO INTERNO NO RECURSO ORDINÁRIO EM MS,1
AGRAVO INTERNO NO AGRAVO INTERNO NO AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO EM RECURSO ESPECIAL,6
AGRAVO INTERNO NO AGRAVO INTERNO NO AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO RECURSO ESPECIAL,1
AGRAVO INTERNO NO AGRAVO INTERNO NO AGRAVO INTERNO NOS EMBARGOS DE DIVERGÊNCIA NOS EMBARGOS DE DIVERGÊNCIA EM RESP,1
AGRAVO INTERNO NO AGRAVO INTERNO NO CONFLITO DE COMPETÊNCIA,13
AGRAVO INTERNO NO AGRAVO INTERNO NO MANDADO DE SEGURANÇA,7
AGRAVO INTERNO NO AGRAVO INTERNO NO PEDIDO DE TUTELA PROVISÓRIA,2
AGRAVO INTERNO NO AGRAVO INTERNO NO RECURSO EM MANDADO DE SEGURANÇA,14
AGRAVO INTERNO NO AGRAVO INTERNO NO RECURSO ESPECIAL,316
AGRAVO INTERNO NO AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NO AGRAVO INTERNO NO RECURSO ORDINÁRIO EM MS,1
AGRAVO INTERNO NO AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NO AGRAVO INTERNO NOS EMBARGOS DE DIVERGÊNCIA EM AGRAVO EM RECURSO ESPECIAL,1
AGRAVO INTERNO NO AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NO AGRAVO EM RECURSO ESPECIAL,1
AGRAVO INTERNO NO AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NO RECURSO ESPECIAL,1
AGRAVO INTERNO NO AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NA RECLAMAÇÃO,2
AGRAVO INTERNO NO AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO EM RECURSO ESPECIAL,75
AGRAVO INTERNO NO AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NA EXCEÇÃO DE SUSPEIÇÃO,1
AGRAVO INTERNO NO AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NO AGRAVO EM RECURSO ESPECIAL,7
AGRAVO INTERNO NO AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NO RECURSO ESPECIAL,1
AGRAVO INTERNO NO AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NOS EMBARGOS DE DIVERGÊNCIA EM AGRAVO EM RECURSO ESPECIAL,1
AGRAVO INTERNO NO AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO CONFLITO DE COMPETÊNCIA,3
AGRAVO INTERNO NO AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO MANDADO DE SEGURANÇA,1
AGRAVO INTERNO NO AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO RECURSO ESPECIAL,42
AGRAVO INTERNO NO AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO EM RECURSO ESPECIAL,2
AGRAVO INTERNO NO AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO RECURSO ESPECIAL,1
AGRAVO INTERNO NO AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DIVERGÊNCIA EM AGRAVO EM RECURSO ESPECIAL,3
AGRAVO INTERNO NO AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DIVERGÊNCIA EM RESP,1
AGRAVO INTERNO NO AGRAVO INTERNO NOS EMBARGOS DE DIVERGÊNCIA EM AGRAVO EM RECURSO ESPECIAL,8
AGRAVO INTERNO NO AGRAVO INTERNO NOS EMBARGOS DE DIVERGÊNCIA EM RECURSO ESPECIAL,13
AGRAVO INTERNO NO AGRAVO REGIMENTAL NA PETIÇÃO NA EXECUÇÃO EM MANDADO DE SEGURANÇA,1
AGRAVO INTERNO NO AGRAVO REGIMENTAL NO AGRAVO EM RECURSO ESPECIAL,4
AGRAVO INTERNO NO AGRAVO REGIMENTAL NO AGRAVO REGIMENTAL NO RECURSO ESPECIAL,1
AGRAVO INTERNO NO AGRAVO REGIMENTAL NO RECURSO ESPECIAL,4
AGRAVO INTERNO NO AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO EM RECURSO ESPECIAL,1
AGRAVO INTERNO NO CONFLITO DE COMPETÊNCIA,377
AGRAVO INTERNO NO EXECUÇÃO EM MANDADO DE SEGURANÇA,1
AGRAVO INTERNO NO HABEAS CORPUS,62
AGRAVO INTERNO NO HABEAS DATA,2
AGRAVO INTERNO NO INCIDENTE DE ASSUNÇÃO DE COMPETÊNCIA NO AGRAVO EM RECURSO ESPECIAL,1
AGRAVO INTERNO NO MANDADO DE INJUNÇÃO,1
AGRAVO INTERNO NO MANDADO DE SEGURANÇA,259
AGRAVO INTERNO NO PEDIDO DE DISTINÇÃO NO AGRAVO EM RECURSO ESPECIAL,1
AGRAVO INTERNO NO PEDIDO DE DISTINÇÃO NO RECURSO ESPECIAL,6
AGRAVO INTERNO NO PEDIDO DE DISTINÇÃO NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NO RECURSO ORDINÁRIO EM MS,1
AGRAVO INTERNO NO PEDIDO DE DISTINÇÃO NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DIVERGÊNCIA NOS EMBARGOS DE DIVERGÊNCIA EM AGRAVO EM RECURSO ESPECIAL,1
AGRAVO INTERNO NO PEDIDO DE DISTINÇÃO NOS EMBARGOS DE DECLARAÇÃO NO RECURSO ESPECIAL,1
AGRAVO INTERNO NO PEDIDO DE DISTINÇÃO NOS EMBARGOS DE DIVERGÊNCIA EM RESP,1
AGRAVO INTERNO NO PEDIDO DE EXTENSÃO NA SUSPENSÃO DE LIMINAR E DE SENTENÇA,1
AGRAVO INTERNO NO PEDIDO DE RECONSIDERAÇÃO NA AÇÃO RESCISÓRIA,1
AGRAVO INTERNO NO PEDIDO DE RECONSIDERAÇÃO NA PETIÇÃO,1
AGRAVO INTERNO NO PEDIDO DE RECONSIDERAÇÃO NA TUTELA ANTECIPADA ANTECEDENTE,1
AGRAVO INTERNO NO PEDIDO DE RECONSIDERAÇÃO NO AGRAVO EM RECURSO ESPECIAL,3
AGRAVO INTERNO NO PEDIDO DE RECONSIDERAÇÃO NO AGRAVO INTERNO NO CONFLITO DE COMPETÊNCIA,1
AGRAVO INTERNO NO PEDIDO DE RECONSIDERAÇÃO NO MANDADO DE SEGURANÇA,1
AGRAVO INTERNO NO PEDIDO DE RECONSIDERAÇÃO NO RECURSO ESPECIAL,1
AGRAVO INTERNO NO PEDIDO DE RECONSIDERAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NO RECURSO ORDINÁRIO EM MS,1
AGRAVO INTERNO NO PEDIDO DE RETIRADA DE PAUTA NO AGRAVO INTERNO NO AGRAVO REGIMENTAL NO RECURSO ESPECIAL,1
AGRAVO INTERNO NO PEDIDO DE RETIRADA DE PAUTA NO AGRAVO INTERNO NO RECURSO ESPECIAL,1
AGRAVO INTERNO NO PEDIDO DE RETIRADA DE PAUTA NO RECURSO ESPECIAL,1
AGRAVO INTERNO NO PEDIDO DE SUSTENTAÇÃO ORAL NO AGRAVO EM RECURSO ESPECIAL,1
AGRAVO INTERNO NO PEDIDO DE TUTELA PROVISÓRIA,69
AGRAVO INTERNO NO PEDIDO DE UNIFORMIZAÇÃO DE INTERPRETAÇÃO DE LEI,140
AGRAVO INTERNO NO PETIÇÃO DE ACORDO NA AÇÃO RESCISÓRIA,1
AGRAVO INTERNO NO PETIÇÃO DE ACORDO NO MANDADO DE SEGURANÇA,1
AGRAVO INTERNO NO PRECATÓRIO,1
AGRAVO INTERNO NO RECURSO EM MANDADO DE SEGURANÇA,745
AGRAVO INTERNO NO RECURSO ESPECIAL,10020
AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NA PETIÇÃO NO RECURSO ESPECIAL,1
AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NO AGRAVO EM RECURSO ESPECIAL,2
AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NO AGRAVO INTERNO NA AÇÃO RESCISÓRIA,1
AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NO AGRAVO INTERNO NA TUTELA PROVISÓRIA INCIDENTAL NA EXECUÇÃO EM MANDADO DE SEGURANÇA,1
AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NO AGRAVO INTERNO NO AGRAVO EM RECURSO ESPECIAL,15
AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NO AGRAVO INTERNO NO AGRAVO INTERNO NO AGRAVO EM RECURSO ESPECIAL,1
AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NO AGRAVO INTERNO NO AGRAVOEM RECURSO ESPECIAL,1
AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NO AGRAVO INTERNO NO CONFLITO DE COMPETÊNCIA,2
AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NO AGRAVO INTERNO NO RECURSO EM MANDADO DE SEGURANÇA,6
AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NO AGRAVO INTERNO NO RECURSO ESPECIAL,8
AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NO AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NA AÇÃO RESCISÓRIA,2
AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NO AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO EM RECURSO ESPECIAL,2
AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NO AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO RECURSO EM MANDADO DE SEGURANÇA,1
AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NO AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO RECURSO ESPECIAL,1
AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NO AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DIVERGÊNCIA EM AGRAVO EM RECURSO ESPECIAL,1
AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NO AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DIVERGÊNCIA EM RECURSO ESPECIAL,1
AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NO AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DIVERGÊNCIA NOS EMBARGOS DE DIVERGÊNCIA EM AGRAVO EM RECURSO ESPECIAL,1
AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NO AGRAVO INTERNO NOS EMBARGOS DE DIVERGÊNCIA EM AGRAVO EM RECURSO ESPECIAL,3
AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NO AGRAVO INTERNO NOS EMBARGOS DE DIVERGÊNCIA EM RECURSO ESPECIAL,3
AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NO AGRAVO REGIMENTAL NO RECURSO EM MANDADO DE SEGURANÇA,1
AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NO MANDADO DE SEGURANÇA,1
AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NO PEDIDO DE RECONSIDERAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO RECURSO ESPECIAL,1
AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NO RECURSO ESPECIAL,2
AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NA AÇÃO RESCISÓRIA,2
AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO EM RECURSO ESPECIAL,2
AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NA AÇÃO RESCISÓRIA,2
AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NA IMPUGNAÇÃO À EXECUÇÃO NA EXECUÇÃO EM MANDADO DE SEGURANÇA,1
AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NO AGRAVO EM RECURSO ESPECIAL,28
AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NO AGRAVO INTERNO NO AGRAVO EM RECURSO ESPECIAL,2
AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NO AGRAVO INTERNO NO AGRAVO INTERNO NO AGRAVO EM RECURSO ESPECIAL,1
AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NO AGRAVO INTERNO NO RECURSO ESPECIAL,3
AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NO CONFLITO DE COMPETÊNCIA,3
AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NO RECURSO EM MANDADO DE SEGURANÇA,16
AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NO RECURSO ESPECIAL,42
AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO EM RECURSO ESPECIAL,6
AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NO CONFLITO DE COMPETÊNCIA,1
AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO CONFLITO DE COMPETÊNCIA,3
AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO RECURSO EM MANDADO DE SEGURANÇA,1
AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO RECURSO ESPECIAL,7
AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DIVERGÊNCIA EM AGRAVO EM RECURSO ESPECIAL,2
AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DIVERGÊNCIA EM RESP,1
AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NOS EMBARGOS DE DIVERGÊNCIA EM AGRAVO EM RECURSO ESPECIAL,5
AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NOS EMBARGOS DE DIVERGÊNCIA EM RECURSO ESPECIAL,12
AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NOS EMBARGOS DE DIVERGÊNCIA NOS EMBARGOS DE DIVERGÊNCIA EM AGRAVO EM RECURSO ESPECIAL,1
AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NOS EMBARGOS DE DIVERGÊNCIA NOS EMBARGOS DE DIVERGÊNCIA EM RESP,2
AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO REGIMENTAL NO AGRAVO DE INSTRUMENTO,1
AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO REGIMENTAL NO AGRAVO EM RECURSO ESPECIAL,1
AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO REGIMENTAL NO RECURSO ESPECIAL,1
AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO REGIMENTAL NOS EMBARGOS DE DIVERGÊNCIA EM RECURSO ESPECIAL,1
AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO RECURSO EM MANDADO DE SEGURANÇA,3
AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO RECURSO ESPECIAL,20
AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NO AGRAVO EM RECURSO ESPECIAL,4
AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NO RECURSO ESPECIAL,1
AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO EM RECURSO ESPECIAL,2
