processo,tese,ementa,relator,data_publicacao,classe_processual
ARE 1450969 RG,"É infraconstitucional, a ela aplicando-se os efeitos da ausência de repercussão geral, a controvérsia acerca da concessão ou não de pagamento do auxílio-moradia e auxílio-alimentação ao médico que frequentou o Programa de Residência Médica (PRM) pelo período estabelecido, de acordo com a Lei 6.932/1981, alterada pela Lei 12.514/2011.","Ementa



    Recurso extraordinário com agravo. Direito administrativo. Residência Médica. Possibilidade de recebimento de auxílio-moradia e auxílio-alimentação durante o período de residência médica. Lei 6.932/1981. Debate de âmbito infraconstitucional. Reelaboração da moldura fática. Súmula 279/STF. Procedimento vedado na instância extraordinária. Precedentes. Questão constitucional. Inexistência. Repercussão geral. Ausência.



    1. A controvérsia acerca da ausência de normatização para o pagamento de auxílio-moradia e auxílio-alimentação ao médico durante o Programa de Residência Médica (PRM) em consonância com o estabelecido na Lei 6.932/1981 não alcança estatura constitucional. Compreensão diversa demandaria a análise da legislação infraconstitucional que fundamentou a decisão do órgão a quo, bem como a reelaboração da moldura fática delineada no acórdão de origem, a tornar oblíqua e reflexa eventual ofensa à Constituição, insuscetível, como tal, de viabilizar o conhecimento do recurso extraordinário. Desatendida a exigência do art. 102, III, a, da Lei Maior, nos termos da remansosa jurisprudência desta Suprema Corte. Aplicação da Súmula 279/STF.



    2. Recurso extraordinário com agravo não conhecido.



    3. Fixada a seguinte tese: É infraconstitucional, a ela aplicando-se os efeitos da ausência de repercussão geral, a controvérsia acerca da concessão ou não de pagamento do auxílio-moradia e auxílio-alimentação ao médico que frequentou o Programa de Residência Médica (PRM) pelo período estabelecido, de acordo com a Lei 6.932/1981, alterada pela Lei 12.514/2011.",MINISTRA PRESIDENTE,2023-09-14,REPERCUSSÃO GERAL NO RECURSO EXTRAORDINÁRIO COM AGRAVO
RE 1384689 RG,"É infraconstitucional, a ela se aplicando os efeitos da ausência de repercussão geral, controvérsia acerca do preenchimento dos requisitos para a transposição dos servidores aposentados do Estado de Rondônia ao quadro em extinção da administração federal, conforme o previsto no art. 89 do ADCT, na redação da Emenda Constitucional 60/2009, e regulamentada pela Lei 13.681/2018 e pelo Decreto 9.823/2019.","Ementa



    Direito administrativo. Servidor público civil do ex-território federal de Rondônia. Quadro da União em extinção. Transposição. Art. 89 do ADCT. Direito de opção. Lei 13.681/2018. Art. 2º do Decreto 9.823/2019. Debate de âmbito infraconstitucional. Reelaboração da moldura fática. Súmula 279/STF. Procedimento vedado na instância extraordinária. Precedentes. Questão constitucional. Inexistência. Repercussão geral. Ausência.



    1. A controvérsia acerca do preenchimento dos requisitos para a transposição dos servidores aposentados do Estado de Rondônia ao quadro em extinção da administração federal não alcança estatura constitucional. Compreensão diversa demandaria a análise da legislação infraconstitucional que fundamentou a decisão do órgão a quo, bem como a reelaboração da moldura fática delineada no acórdão de origem, a tornar oblíqua e reflexa eventual ofensa à Constituição, insuscetível, como tal, de viabilizar o conhecimento do recurso extraordinário. Desatendida a exigência do art. 102, III, a, da Lei Maior, nos termos da remansosa jurisprudência desta Suprema Corte. Aplicação da Súmula 279/STF.



    2. Recurso extraordinário não conhecido.



    3. Fixada a seguinte tese: É infraconstitucional, a ela se aplicando os efeitos da ausência de repercussão geral, controvérsia acerca do preenchimento dos requisitos para a transposição dos servidores aposentados do Estado de Rondônia ao quadro em extinção da administração federal, conforme o previsto no art. 89 do ADCT, na redação da Emenda Constitucional 60/2009, e regulamentada pela Lei 13.681/2018 e pelo Decreto 9.823/2019.",MINISTRA PRESIDENTE,2023-04-17,REPERCUSSÃO GERAL NO RECURSO EXTRAORDINÁRIO
RE 1025986,"É constitucional a incidência do ICMS sobre a operação de venda, realizada por locadora de veículos, de automóvel com menos de 12 (doze) meses de aquisição da montadora.","Ementa: CONSTITUCIONAL E TRIBUTÁRIO. TEMA 1012 DA REPERCUSSÃO GERAL. INCIDÊNCIA LEGÍTIMA DE ICMS SOBRE A VENDA DE AUTOMÓVEIS, POR EMPRESAS LOCADORAS DE VEÍCULOS, ANTES DE UM ANO DE SUA AQUISIÇÃO DAS MONTADORAS. RECURSO EXTRAORDINÁRIO IMPROVIDO.



    1. Nos termos do artigo 155, § 2º, inciso XII, alínea “g, da Constituição Federal, compete à lei complementar regulamentar a forma como os Estados e o Distrito Federal deliberarão sobre a instituição de isenções, incentivos e benefícios fiscais relativos ao ICMS. A LC 24/1975 efetiva o mandamento constitucional e retrata o alcance dos convênios celebrados pelos Estados e Distrito Federal, formalizados pelo Conselho Nacional de Política Fazendária – CONFAZ.



    2. É legítima a incidência do ICMS sobre a operação de venda, realizada por locadora de veículos, de automóvel com menos de 12 (doze) meses de aquisição da montadora, uma vez que, nessa hipótese, os bens perdem a característica de ativo imobilizado, passando a assumir o caráter de mercadoria, nos termos do Decreto Estadual 29.831/2006, que tratou apenas de regulamentar internamente as disposições aprovadas pelo Convênio CONFAZ 64/2006.



    3. Recurso Extraordinário a que se NEGA PROVIMENTO, com a fixação da seguinte tese de julgamento: “É constitucional a incidência do ICMS sobre a operação de venda, realizada por locadora de veículos, de automóvel com menos de 12 (doze) meses de aquisição da montadora.”",MARCO AURÉLIO,2020-09-10,RECURSO EXTRAORDINÁRIO
RE 1287019,"A cobrança do diferencial de alíquota alusivo ao ICMS, conforme introduzido pela Emenda Constitucional nº 87/2015, pressupõe edição de lei complementar veiculando normas gerais.","EMENTA



    Recurso extraordinário. Repercussão geral. Direito tributário. Emenda Constitucional nº 87/2015. ICMS. Operações e prestações em que haja a destinação de bens e serviços a consumidor final não contribuinte do ICMS localizado em estado distinto daquele do remetente. Inovação constitucional. Matéria reservada a lei complementar (art. 146, I e III, a e b; e art. 155, § 2º, XII, a, b, c, d e i, da CF/88). Cláusulas primeira, segunda, terceira e sexta do Convênio ICMS nº 93/15. Inconstitucionalidade. Tratamento tributário diferenciado e favorecido destinado a microempresas e empresas de pequeno porte. Simples Nacional. Matéria reservada a lei complementar (art. 146, III, d, e parágrafo único, da CF/88). Cláusula nona do Convênio ICMS nº 93/15. Inconstitucionalidade.



    1. A EC nº 87/15 criou nova relação jurídico-tributária entre o remetente do bem ou serviço (contribuinte) e o estado de destino nas operações com bens e serviços destinados a consumidor final não contribuinte do ICMS. O imposto incidente nessas operações e prestações, que antes era devido totalmente ao estado de origem, passou a ser dividido entre dois sujeitos ativos, cabendo ao estado de origem o ICMS calculado com base na alíquota interestadual e ao estado de destino, o diferencial entre a alíquota interestadual e sua alíquota interna.



    2. Convênio interestadual não pode suprir a ausência de lei complementar dispondo sobre obrigação tributária, contribuintes, bases de cálculo/alíquotas e créditos de ICMS nas operações ou prestações interestaduais com consumidor final não contribuinte do imposto, como fizeram as cláusulas primeira, segunda, terceira e sexta do Convênio ICMS nº 93/15.



    3. A cláusula nona do Convênio ICMS nº 93/15, ao determinar a extensão da sistemática da EC nº 87/2015 aos optantes do Simples Nacional, adentra no campo material de incidência da LC nº 123/06, que estabelece normas gerais relativas ao tratamento diferenciado e favorecido a ser dispensado às microempresas e às empresas de pequeno porte, à luz do art. 146, inciso III, d, e parágrafo único, da Constituição Federal.



    4. Tese fixada para o Tema nº 1.093: “A cobrança do diferencial de alíquota alusivo ao ICMS, conforme introduzido pela Emenda Constitucional nº 87/2015, pressupõe edição de lei complementar veiculando normas gerais”.



    5. Recurso extraordinário provido, assentando-se a invalidade da cobrança do diferencial de alíquota do ICMS, na forma do Convênio nº 93/1, em operação interestadual envolvendo mercadoria destinada a consumidor final não contribuinte.



    6. Modulação dos efeitos da declaração de inconstitucionalidade das cláusulas primeira, segunda, terceira, sexta e nona do convênio questionado, de modo que a decisão produza efeitos, quanto à cláusula nona, desde a data da concessão da medida cautelar nos autos da ADI nº 5.464/DF e, quanto às cláusulas primeira, segunda, terceira e sexta, a partir do exercício financeiro seguinte à conclusão deste julgamento (2022), aplicando-se a mesma solução em relação às respectivas leis dos estados e do Distrito Federal, para as quais a decisão deverá produzir efeitos a partir do exercício financeiro seguinte à conclusão deste julgamento (2022), exceto no que diz respeito às normas legais que versarem sobre a cláusula nona do Convênio ICMS nº 93/15, cujos efeitos deverão retroagir à data da concessão da medida cautelar nos autos da ADI nº 5.464/DF. Ficam ressalvadas da modulação as ações judiciais em curso.",MARCO AURÉLIO,2021-05-25,RECURSO EXTRAORDINÁRIO
RE 1209429,"É objetiva a Responsabilidade Civil do Estado em relação a profissional da imprensa ferido por agentes policiais durante cobertura jornalística, em manifestações em que haja tumulto ou conflitos entre policiais e manifestantes. Cabe a excludente da responsabilidade da culpa exclusiva da vítima, nas hipóteses em que o profissional de imprensa descumprir ostensiva e clara advertência sobre acesso a áreas delimitadas, em que haja grave risco à sua integridade física.","EMENTA. CONSTITUCIONAL. RESPONSABILIDADE CIVIL DO ESTADO. PROFISSIONAL DE IMPRENSA FERIDO, EM SITUAÇÃO DE TUMULTO, DURANTE COBERTURA JORNALÍSTICA. CULPA EXCLUSIVA DA VÍTIMA. INOCORRÊNCIA. PROVIMENTO DO RECURSO EXTRAORDINÁRIO.



    1. O Estado responde civilmente por danos causados a profissional de imprensa ferido pela polícia, durante cobertura jornalística de manifestação popular. A apuração da responsabilidade dá-se na forma da teoria do risco administrativo, pacificamente aceita pela jurisprudência e pela doutrina.



    2. Admite-se a invocação da excludente de responsabilidade civil da culpa exclusiva da vítima, nas hipóteses em que em que o profissional de imprensa I - descumpra ostensiva e clara advertência sobre o acesso a áreas delimitadas em que haja grave risco à sua integridade física; ou II - participe do conflito com atos estranhos à atividade de cobertura jornalística.



    3. No caso concreto, o Tribunal de origem reconheceu a referida excludente de responsabilidade, sem identificar quaisquer destas circunstâncias - mas unicamente pelo fato de o fotógrafo estar presente na manifestação. 



    4. A atuação dos profissionais de imprensa na apuração de informações relevantes para a sociedade é tutelada pela Constituição, não podendo ser alegada pela afastar a responsabilidade civil do Estado. 



    5. O pedido de pensão mensal vitalícia merece ser atendido, em face do grave comprometimento do exercício da atividade de fotojornalismo, após ter o autor perdido 90% da visão em um dos olhos. Já o valor fixado a título de indenização pelos danos morais mostra-se alinhado aos parâmetros adotados pela jurisprudência brasileira em casos análogos, não cabendo sua elevação. 



    6. Recurso Extraordinário a que se dá provimento. Tema 1055, fixada a seguinte tese de repercussão geral: ""“É objetiva a Responsabilidade Civil do Estado em relação a profissional da imprensa ferido por agentes policiais durante cobertura jornalística, em manifestações em que haja tumulto ou conflitos entre policiais e manifestantes. Cabe a excludente da responsabilidade da culpa exclusiva da vítima, nas hipóteses em que o profissional de imprensa descumprir ostensiva e clara advertência sobre acesso a áreas delimitadas, em que haja grave risco à sua integridade física"".",MARCO AURÉLIO,2021-10-20,RECURSO EXTRAORDINÁRIO
RE 1140005,"I. É devido o pagamento de honorários sucumbenciais à Defensoria Pública, quando representa parte vencedora em demanda ajuizada contra qualquer ente público, inclusive aquele que integra; 
II. O valor recebido a título de honorários sucumbenciais deve ser destinado, exclusivamente, ao aparelhamento das Defensorias Públicas, vedado o seu rateio entre os membros da instituição.","Ementa: Direito constitucional. Recurso extraordinário. Pagamento de honorários à Defensoria Pública que litiga contra o ente público que integra. Evolução constitucional da instituição. Autonomia administrativa, funcional e financeira. 



    1.  Recurso extraordinário, com repercussão geral, que discute se os entes federativos devem pagar honorários advocatícios sucumbenciais às Defensorias Públicas que os integram.



    2.  As Emendas Constitucionais nºs 45/2004, 74/2013 e 80/2014 asseguraram às Defensorias Públicas dos Estados e da União autonomia administrativa, funcional e financeira. Precedentes.



    3.  A partir dessa evolução constitucional, a Defensoria Pública tornou-se órgão constitucional autônomo, sem subordinação ao Poder Executivo. Não há como se compreender que a Defensoria Pública é órgão integrante e vinculando à estrutura administrativa do Estado-membro, o que impediria o recebimento de honorários de sucumbência. Superação da tese da confusão. Necessidade de se compreender as instituições do Direito Civil à luz da Constituição.



    4.  A missão constitucional atribuída às Defensorias Públicas de garantir o acesso à justiça dos grupos mais vulneráveis da população demanda a devida alocação de recursos financeiros para aparelhamento da instituição. No entanto, após o prazo de oito anos concedido pelo art. 98 do ADCT, os dados sobre a situação da instituição revelam que os recursos destinados pelos cofres públicos não são suficientes para a superação dos problemas de estruturação do órgão e de déficit de defensores públicos.



    5.  As verbas sucumbenciais decorrentes da atuação judicial da Defensoria Pública devem ser destinadas exclusivamente para a estruturação de suas unidades, contribuindo para o incremento da qualidade do atendimento à população carente, garantindo, desta maneira, a efetividade do acesso à justiça.



    6.  Recurso extraordinário provido, com a fixação das seguinte teses de julgamento: “1. É devido o pagamento de honorários sucumbenciais à Defensoria Pública, quando representa parte vencedora em demanda ajuizada contra qualquer ente público, inclusive aquele que integra; 2. O valor recebido a título de honorários sucumbenciais deve ser destinado, exclusivamente, ao aparelhamento das Defensorias Públicas, vedado o seu rateio entre os membros da instituição”.",ROBERTO BARROSO,2023-08-16,RECURSO EXTRAORDINÁRIO
RE 565089,"O não encaminhamento de projeto de lei de revisão anual dos vencimentos dos servidores públicos, previsto no inciso X do art. 37 da CF/1988, não gera direito subjetivo a indenização. Deve o Poder Executivo, no entanto, se pronunciar, de forma fundamentada, acerca das razões pelas quais não propôs a revisão.","Ementa: Direito constitucional e administrativo. Recurso extraordinário. Repercussão geral. Inexistência de lei para revisão geral anual das remunerações dos servidores públicos. Ausência de direito a indenização.



    1. Recurso extraordinário, com repercussão geral reconhecida, contra acórdão do TJ/SP que assentara a inexistência de direito à indenização por omissão do Chefe do Poder Executivo estadual quanto ao envio de projeto de lei para a revisão geral anual das remunerações dos respectivos servidores públicos.



    2. O art. 37, X, da CF/1988 não estabelece um dever específico de que a remuneração dos servidores seja objeto de aumentos anuais, menos ainda em percentual que corresponda, obrigatoriamente, à inflação apurada no período. Isso não significa, porém, que a norma constitucional não tenha eficácia. Ela impõe ao Chefe do Poder Executivo o dever de se pronunciar, anualmente e de forma fundamentada, sobre a conveniência e possibilidade de reajuste ao funcionalismo.



    3. Recurso extraordinário a que se nega provimento, com a fixação da seguinte tese: “O não encaminhamento de projeto de lei de revisão anual dos vencimentos dos servidores públicos, previsto no inciso X do art. 37 da CF/1988, não gera direito subjetivo a indenização. Deve o Poder Executivo, no entanto, pronunciar-se de forma fundamentada acerca das razões pelas quais não propôs a revisão”.",MARCO AURÉLIO,2020-04-28,RECURSO EXTRAORDINÁRIO
RE 1438704 RG,É infraconstitucional a controvérsia sobre a incidência de PIS e COFINS sobre juros de mora e correção monetária (taxa Selic) recebidos em repetição de indébito tributário.,"Ementa: Direito tributário. Recurso extraordinário. PIS e COFINS. Incidência sobre a taxa Selic em repetição de indébito. Matéria infraconstitucional.



    I. Caso em exame 



    1. Recurso extraordinário contra acórdão do Tribunal Regional Federal da 5ª Região, que afirmou a incidência de PIS e COFINS sobre juros de mora e correção monetária (taxa Selic) em repetição de indébito tributário. Isso sob o fundamento de que os valores designam receitas totais (receita ou faturamento), que constituem a base de cálculo dessas contribuições sociais. 



    II. Questão em discussão



    2. A questão jurídica em discussão consiste em saber se os valores recebidos a título de juros moratórios e correção monetária (taxa Selic), em repetição de indébito tributário, compõem a base de cálculo do PIS e da COFINS.



    III. Razões de decidir



    3. A jurisprudência do STF afirma que a discussão referente à incidência de PIS e COFINS sobre taxa SELIC em repetição de indébito tributário demanda o reexame de legislação infraconstitucional (Leis nº 10.637/02 e nº 10.833/03). Inexistência de matéria constitucional. Questão restrita à interpretação de norma infraconstitucional.



    IV. Dispositivo e Tese 



    4. Recurso não conhecido.



          Tese de julgamento: “É infraconstitucional a controvérsia sobre a incidência de PIS e COFINS sobre juros de mora e correção monetária (taxa Selic) recebidos em repetição de indébito tributário”.",MINISTRO PRESIDENTE,2024-08-22,REPERCUSSÃO GERAL NO RECURSO EXTRAORDINÁRIO
RE 1026923 RG,,“A VOZ DO BRASIL” – RETRANSMISSÃO – HORÁRIO IMPOSITIVO – RECURSO EXTRAORDINÁRIO – ADEQUAÇÃO – REPERCUSSÃO GERAL CONFIGURADA. Possui repercussão geral controvérsia alusiva à obrigatoriedade de retransmissão do programa “A Voz do Brasil” em horário impositivo.,MARCO AURÉLIO,2019-09-23,REPERCUSSÃO GERAL NO RECURSO EXTRAORDINÁRIO
RE 595676,"A imunidade da alínea d do inciso VI do artigo 150 da Constituição Federal alcança componentes eletrônicos destinados, exclusivamente, a integrar unidade didática com fascículos.","IMUNIDADE – UNIDADE DIDÁTICA – COMPONENTES ELETRÔNICOS. A imunidade prevista no artigo 150, inciso VI, da Constituição Federal alcança componentes eletrônicos, quando destinados, exclusivamente, a integrar a unidade didática com fascículos periódicos impressos.",MARCO AURÉLIO,2017-12-18,RECURSO EXTRAORDINÁRIO
RE 595326,"A Justiça do Trabalho é competente para executar, de ofício, as contribuições previstas no artigo 195, incisos I, alínea a, e II, da Carta da República, relativamente a títulos executivos judiciais por si formalizados em data anterior à promulgação da Emenda Constitucional nº 20/1998.","COMPETÊNCIA – CONTRIBUIÇÃO SOCIAL – SENTENÇA TRABALHISTA. A Justiça do Trabalho é competente para executar, de ofício, as contribuições previstas no artigo 195, incisos I, alínea “a”, e II, da Carta da República, relativamente a títulos executivos judiciais por si formalizados em data anterior à promulgação da Emenda Constitucional nº 20/1998.",MARCO AURÉLIO,2020-09-17,RECURSO EXTRAORDINÁRIO
RE 607607 RG,,"VALE-REFEIÇÃO – PARCELA INDENIZATÓRIA – REPOSIÇÃO DO PODER AQUISITIVO – IMPOSIÇÃO PELO PODER JUDICIÁRIO. Possui repercussão geral a controvérsia sobre a possibilidade de, ante a existência de lei, o Poder Judiciário proceder ao reajuste do vale-refeição de servidores estaduais ou impor ao Poder Executivo a edição de decreto para tal fim.",MARCO AURÉLIO,2011-04-14,REPERCUSSÃO GERAL NO RECURSO EXTRAORDINÁRIO
RE 888815,"Não existe direito público subjetivo do aluno ou de sua família ao ensino domiciliar, inexistente na legislação brasileira.","Ementa: CONSTITUCIONAL. EDUCAÇÃO. DIREITO FUNDAMENTAL RELACIONADO À DIGNIDADE DA PESSOA HUMANA E À EFETIVIDADE DA CIDADANIA. DEVER SOLIDÁRIO DO ESTADO E DA FAMÍLIA NA PRESTAÇÃO DO ENSINO FUNDAMENTAL. NECESSIDADE DE LEI FORMAL, EDITADA PELO CONGRESSO NACIONAL, PARA REGULAMENTAR O ENSINO DOMICILIAR. RECURSO DESPROVIDO.



    1. A educação é um direito fundamental relacionado à dignidade da pessoa humana e à própria cidadania, pois exerce dupla função: de um lado, qualifica a comunidade como um todo, tornando-a esclarecida, politizada, desenvolvida (CIDADANIA); de outro, dignifica o indivíduo, verdadeiro titular desse direito subjetivo fundamental (DIGNIDADE DA PESSOA HUMANA). No caso da educação básica obrigatória (CF, art. 208, I), os titulares desse direito indisponível à educação são as crianças e adolescentes em idade escolar.



    2. É dever da família, sociedade e Estado assegurar à criança, ao adolescente e ao jovem, com absoluta prioridade, a educação. A Constituição Federal consagrou o dever de solidariedade entre a família e o Estado como núcleo principal à formação educacional das crianças, jovens e adolescentes com a dupla finalidade de defesa integral dos direitos das crianças e dos adolescentes e sua formação em cidadania, para que o Brasil possa vencer o grande desafio de uma educação melhor para as novas gerações, imprescindível para os países que se querem ver desenvolvidos. 



    3. A Constituição Federal não veda de forma absoluta o ensino domiciliar, mas proíbe qualquer de suas espécies que não respeite o dever de solidariedade entre a família e o Estado como núcleo principal à formação educacional das crianças, jovens e adolescentes. São inconstitucionais, portanto, as espécies de unschooling radical (desescolarização radical), unschooling moderado (desescolarização moderada) e homeschooling puro, em qualquer de suas variações.



    4. O ensino domiciliar não é um direito público subjetivo do aluno ou de sua família, porém não é vedada constitucionalmente sua criação por meio de lei federal, editada pelo Congresso Nacional, na modalidade “utilitarista” ou “por conveniência circunstancial”, desde que se cumpra a obrigatoriedade, de 4 a 17 anos, e se respeite o dever solidário Família/Estado, o núcleo básico de matérias acadêmicas, a supervisão, avaliação e fiscalização pelo Poder Público; bem como as demais previsões impostas diretamente pelo texto constitucional, inclusive no tocante às finalidades e objetivos do ensino; em especial, evitar a evasão escolar e garantir a socialização do indivíduo, por meio de ampla convivência familiar e comunitária (CF, art. 227).



    5. Recurso extraordinário desprovido, com a fixação da seguinte tese (TEMA 822): “Não existe direito público subjetivo do aluno ou de sua família ao ensino domiciliar, inexistente na legislação brasileira”.",ROBERTO BARROSO,2019-03-21,RECURSO EXTRAORDINÁRIO
RE 650898 RG,,"PROCESSO OBJETIVO – TRIBUNAL DE JUSTIÇA – CONFLITO DE LEI MUNICIPAL COM A CONSTITUIÇÃO FEDERAL – CRIVO IMPLEMENTADO – SUBSÍDIO – GRATIFICAÇÃO DE FÉRIAS, 13º SALÁRIO E VERBA INDENIZATÓRIA – RECURSO EXTRAORDINÁRIO – REPERCUSSÃO GERAL CONFIGURADA. Possui repercussão geral a controvérsia acerca da viabilidade de órgão especial de tribunal de justiça, no julgamento de ação direta de inconstitucionalidade em que se impugna lei municipal, verificar a existência de ofensa ao Diploma Maior. Igualmente, tem repercussão geral a questão relativa à possibilidade, ou não, de haver a satisfação de subsídio acompanhada do pagamento de outra espécie remuneratória.",MARCO AURÉLIO,2011-10-26,REPERCUSSÃO GERAL NO RECURSO EXTRAORDINÁRIO
ARE 782749 RG,,"Ementa: PROCESSUAL CIVIL. RECURSO EXTRAORDINÁRIO. IMPOSTO SOBRE OPERAÇÕES RELATIVAS À CIRCULAÇÃO DE MERCADORIAS E SOBRE PRESTAÇÕES DE SERVIÇOS DE TRANSPORTE INTERESTADUAL E INTERMUNICIPAL E DE COMUNICAÇÃO - ICMS. INCIDÊNCIA SOBRE A TARIFA DE “ASSINATURA BÁSICA MENSAL”. REPERCUSSÃO GERAL CONFIGURADA.



    1. Possui repercussão geral a questão relativa à incidência ou não do ICMS-comunicação (Constituição, art. 155, II) sobre a tarifa denominada “assinatura básica mensal”, paga pelo consumidor às concessionárias de telefonia, de forma permanente e contínua, durante toda a vigência do contrato de prestação de serviços.



    2. Repercussão geral reconhecida.",TEORI ZAVASCKI,2015-08-03,REPERCUSSÃO GERAL NO RECURSO EXTRAORDINÁRIO COM AGRAVO
RE 600867 RG,,"Ementa: TRIBUTÁRIO. IMUNIDADE TRIBUTÁRIA RECÍPROCA. SOCIEDADE DE ECONOMIA MISTA. PARTICIPAÇÃO ACIONÁRIA DISPERSA E NEGOCIADA EM BOLSA DE VALORES. EXAME DA RELAÇÃO ENTRE OS SERVIÇOS PÚBLICOS PRESTADOS E O OBJETIVO DE DISTRIBUIÇÃO DE LUCROS A INVESTIDORES PÚBLICOS E PRIVADOS COMO ELEMENTO DETERMINANTE PARA APLICAÇÃO DA SALVAGUARDA CONSTITUCIONAL. 



    ART. 150, VI, A DA CONSTITUIÇÃO. 



    Tem repercussão geral a questão consistente em saber se a imunidade tributária recíproca se aplica a entidade cuja composição acionária, objeto de negociação em Bolsas de Valores, revela inequívoco objetivo de distribuição de lucros a investidores públicos e privados.",JOAQUIM BARBOSA,2012-02-10,REPERCUSSÃO GERAL NO RECURSO EXTRAORDINÁRIO
RE 1455643 RG,,"Ementa



    Direito tributário. Contribuição previdenciária sobre o salário-maternidade a cargo da segurada. Inaplicabilidade do Tema 72 da repercussão geral. Distinção. Questão constitucional. Potencial multiplicador da controvérsia. Repercussão geral reconhecida.



    1. Possui índole constitucional e repercussão geral a controvérsia relativa à constitucionalidade da incidência de contribuição previdenciária a cargo da empregada sobre o salário-maternidade pago pela Previdência Social.



    2. A presente discussão jurídica não se confunde com o objeto do RE 576.967/PR, Tema 72, Rel. Min. Roberto Barroso, submetido à sistemática da repercussão geral.



    3. Repercussão geral reconhecida.",MINISTRA PRESIDENTE,2023-09-29,REPERCUSSÃO GERAL NO RECURSO EXTRAORDINÁRIO
ARE 1267879,"É constitucional a obrigatoriedade de imunização por meio de vacina que, registrada em órgão de vigilância sanitária, (i) tenha sido incluída no Programa Nacional de Imunizações ou (ii) tenha sua aplicação obrigatória determinada em lei ou (iii) seja objeto de determinação da União, Estado, Distrito Federal ou Município, com base em consenso médico-científico. Em tais casos, não se caracteriza violação à liberdade de consciência e de convicção filosófica dos pais ou responsáveis, nem tampouco ao poder familiar.","Ementa: Direito constitucional. Recurso extraordinário. Repercussão geral. Vacinação obrigatória de crianças e adolescentes. Ilegitimidade da recusa dos pais em vacinarem os filhos por motivo de convicção filosófica.



    1. Recurso contra acórdão do Tribunal de Justiça do Estado de São Paulo (TJSP) que determinou que pais veganos submetessem o filho menor às vacinações definidas como obrigatórias pelo Ministério da Saúde, a despeito de suas convicções filosóficas. 



    2. A luta contra epidemias é um capítulo antigo da história. Não obstante o Brasil e o mundo estejam vivendo neste momento a maior pandemia dos últimos cem anos, a da Covid-19, outras doenças altamente contagiosas já haviam desafiado a ciência e as autoridades públicas. Em inúmeros cenários, a vacinação revelou-se um método preventivo eficaz. E, em determinados casos, foi a responsável pela erradicação da moléstia (como a varíola e a poliomielite). As vacinas comprovaram ser uma grande invenção da medicina em prol da humanidade. 



    3. A liberdade de consciência é protegida constitucionalmente (art. 5º, VI e VIII) e se expressa no direito que toda pessoa tem de fazer suas escolhas existenciais e de viver o seu próprio ideal de vida boa. É senso comum, porém, que nenhum direito é absoluto, encontrando seus limites em outros direitos e valores constitucionais. No caso em exame, a liberdade de consciência precisa ser ponderada com a defesa da vida e da saúde de todos (arts. 5º e 196), bem como com a proteção prioritária da criança e do adolescente (art. 227). 



    4. De longa data, o Direito brasileiro prevê a obrigatoriedade da vacinação. Atualmente, ela está prevista em diversas leis vigentes, como, por exemplo, a Lei nº 6.259/1975 (Programa Nacional de Imunizações) e a Lei nº 8.069/90 (Estatuto da Criança e do Adolescente). Tal previsão jamais foi reputada inconstitucional. Mais recentemente, a Lei nº 13.979/2020 (referente às medidas de enfrentamento da pandemia da Covid-19), de iniciativa do Poder Executivo, instituiu comando na mesma linha.



    5. É legítimo impor o caráter compulsório de vacinas que tenha registro em órgão de vigilância sanitária e em relação à qual exista consenso médico-científico. Diversos fundamentos justificam a medida, entre os quais: a) o Estado pode, em situações excepcionais, proteger as pessoas mesmo contra a sua vontade (dignidade como valor comunitário); b) a vacinação é importante para a proteção de toda a sociedade, não sendo legítimas escolhas individuais que afetem gravemente direitos de terceiros (necessidade de imunização coletiva); e c) o poder familiar não autoriza que os pais, invocando convicção filosófica, coloquem em risco a saúde dos filhos (CF/1988, arts. 196, 227 e 229) (melhor interesse da criança).



    6. Desprovimento do recurso extraordinário, com a fixação da seguinte tese: “É constitucional a obrigatoriedade de imunização por meio de vacina que, registrada em órgão de vigilância sanitária, (i) tenha sido incluída no Programa Nacional de Imunizações, ou (ii) tenha sua aplicação obrigatória determinada em lei ou (iii) seja objeto de determinação da União, Estado, Distrito Federal ou Município, com base em consenso médico-científico. Em tais casos, não se caracteriza violação à liberdade de consciência e de convicção filosófica dos pais ou responsáveis, nem tampouco ao poder familiar”.",ROBERTO BARROSO,2021-04-08,RECURSO EXTRAORDINÁRIO COM AGRAVO
